DIV,LOC,AREA,PERSONNUM
71,1,721,71456282
71,1,721,10649429
71,1,721,10699415
71,1,721,71049629
71,1,721,71515877
71,1,721,71779494
71,1,721,10683495
71,1,721,10739530
71,1,721,10813227
71,1,721,10366996
71,1,721,10825650
71,1,721,71324708
71,1,721,71394892
71,1,721,10492604
71,1,721,71247847
71,1,722,71354923
71,1,722,71463200
71,1,722,10700393
71,1,722,71530334
71,1,722,71246930
71,1,722,10826473
71,1,722,10807687
71,1,722,10742449
71,1,722,10808631
71,1,722,10703215
71,1,722,71053995
71,1,722,10085458
71,1,722,71697868
71,1,730,71332233
71,1,730,71550339
71,1,730,71012312
71,1,730,10823937
71,1,730,10828646
71,1,730,10359159
71,1,730,10180189
71,1,730,71521875
71,1,730,10298527
71,1,730,71853737
71,1,730,10788318
71,1,732,71045429
71,1,732,71307117
71,1,732,10721328
71,1,732,10759843
71,1,732,71133711
71,1,732,10809653
71,1,732,71135845
71,1,810,10353214
71,1,810,71511046
71,1,810,10275084
71,1,810,10152645
71,1,810,10693221
71,1,810,10560752
71,1,810,10628409
71,1,810,10485342
71,1,810,10202015
71,1,810,10188272
71,1,810,71183791
71,1,810,10077893
71,1,810,71488554
71,1,810,10564862
71,1,810,71185464
71,1,810,71298328
71,1,1099,10575961
71,1,1099,10377733
71,1,1099,71037044
71,1,1099,71253545
71,1,1099,71118219
71,1,1099,10736909
71,1,1099,10360437
71,1,1099,10329625
71,1,1099,10622890
71,1,1099,10036535
71,1,1099,10144166
71,1,1099,10409586
71,1,1099,10054321
71,1,1099,71516500
71,1,1099,71297620
71,1,1099,71584565
71,1,1412,10752653
71,1,1412,71228097
71,1,1412,71330945
71,1,1501,10832101
71,1,1501,10721325
71,1,1501,10710331
71,1,1501,10807903
71,1,1501,10290542
71,1,1501,10372365
71,1,1501,10356150
71,1,1501,10637197
71,1,1501,71138371
71,1,1501,71291116
71,1,1501,71481895
71,1,1601,10702088
71,1,1601,10694521
71,1,1601,71087724
71,1,1601,71231671
71,1,1601,10302437
71,1,1601,71413757
71,1,1601,71534604
71,1,1601,71434154
71,1,1601,71262054
71,1,1601,10353230
71,1,1601,10815499
71,1,1601,71913420
71,1,1702,10216564
71,1,1702,71347975
71,1,1702,71823320
71,1,1702,10693153
71,1,1702,71124555
71,1,1702,71315040
71,1,1702,71491027
71,1,1702,71791186
71,1,1702,71342939
71,1,1702,10705662
71,1,1708,10268583
71,1,1708,10564605
71,1,1708,71510437
71,1,1708,10727902
71,1,1708,10693639
71,1,1708,10309835
71,1,1708,10451622
71,1,1708,71346227
71,1,1708,10558892
71,1,1708,10547104
71,1,1708,10545621
71,1,1809,71695916
71,1,1809,10393101
71,1,1809,71668120
71,1,1809,10353340
71,1,1809,71225653
71,1,1809,10563098
71,1,1809,10828999
71,1,1809,10838300
71,1,1809,10751564
71,1,2170,10673386
71,1,2170,10240565
71,1,2170,10677637
71,1,2170,10220824
71,1,2170,10511350
71,1,2170,10282181
71,1,2180,71264375
71,1,4002,71306933
71,1,4002,10192281
71,1,4002,71148113
71,1,4002,71124708
71,1,4002,71124755
71,1,4002,71317128
71,1,4002,71172500
71,1,4002,71339859
71,1,4002,71472050
71,1,4002,71331015
71,1,4002,71513131
71,1,4002,71138505
71,1,4002,71202622
71,1,4002,71234709
71,1,4002,71673082
71,1,6601,10698113
71,1,6601,10753872
71,1,6601,71500601
71,1,6601,10811552
71,1,6601,10709426
71,1,6601,71078502
71,1,6601,10125676
71,1,6601,10682644
71,1,6601,10749574
71,1,6601,10408076
71,1,6601,10752629
71,1,6601,10779413
71,1,6601,10710279
71,1,6601,10433031
71,1,6601,10686967
71,1,6601,10740216
71,1,6601,10756515
71,1,6601,10727914
71,1,6601,10355028
71,1,6601,10747382
71,1,6601,10359598
71,1,6601,71952423
71,1,6601,10703432
71,1,6601,71435240
71,1,6601,10741522
71,1,6601,10766745
71,1,6601,10459181
71,1,6601,71871497
71,1,6601,10797866
71,1,6601,71045194
71,1,6601,10836706
71,1,6601,10643800
71,1,6601,10651882
71,1,6601,10375656
71,1,8802,10714063
71,1,8802,10501838
71,1,8825,10305442
71,1,8825,10511245
71,1,8825,10829495
71,1,8825,10825071
71,1,8825,10789759
71,1,8825,10402486
71,1,8825,10821473
71,1,8825,10680523
71,1,8825,71966075
71,1,8825,10784183
71,1,8825,10684984
71,1,8825,10681809
71,1,8825,10780176
71,1,8825,10338132
71,1,8825,10294582
71,1,8825,10331991
71,1,8825,71290872
71,1,8825,71566124
71,1,8825,71508950
71,1,8825,10508065
71,1,8825,10650136
71,1,8825,71104298
71,1,8825,10753064
71,1,8825,10829696
71,1,8825,10829062
71,1,8825,10140548
71,1,8840,71104292
71,1,8840,71173374
71,1,8840,10336275
71,1,8840,10567043
71,1,8840,10183913
71,1,8840,10688490
71,1,8840,10812701
71,1,8840,10819372
71,1,8840,71114871
71,1,8842,71539217
71,1,8842,71199122
71,1,8842,71463214
71,1,8842,10200651
71,1,8842,71309396
71,1,8842,10511339
71,1,8842,10073377
71,1,8842,10360110
71,1,8842,71809778
71,1,8842,10423151
71,1,8842,10678439
71,1,8842,10751848
71,1,8842,10771526
71,1,8842,71161210
71,1,8842,10773559
71,1,8842,10832105
71,1,8842,10833156
71,1,8842,10835254
71,1,8842,10830605
71,1,8842,10833165
71,1,8842,10828649
71,1,8843,71006985
71,1,8843,10335642
71,1,8843,10828668
71,1,8843,10788338
71,1,8843,10501831
71,1,8843,10589186
71,1,8844,10679797
71,1,8844,10394044
71,1,8844,10501782
71,1,8844,10675829
71,1,8844,10834880
71,1,8844,10834904
71,1,8844,10677634
71,1,8844,10423111
71,1,8844,10392729
71,1,8844,10498083
71,1,8852,10579085
71,1,8852,10640987
71,1,8852,10829687
71,1,8852,71943966
71,1,8852,10830560
71,1,8853,10342550
71,1,8853,10791460
71,1,8853,10829685
71,1,8853,71439999
71,1,8853,71054004
71,1,8853,71434099
71,1,8875,10689501
71,1,8875,10006615
71,1,8877,71153741
71,1,8878,10545612
71,1,8878,10393364
71,1,8880,10268662
71,1,8880,10345374
71,1,8890,10670584
71,1,8890,10324450
71,1,8890,71220268
71,1,8890,71055031
71,1,8890,71127282
71,1,8890,71668460
71,1,9207,71680151
71,1,9210,10174894
71,1,9213,10703234
71,1,9213,10252926
71,1,9213,10409574
71,1,9213,10537635
71,1,9213,10665018
71,1,9220,10343726
71,1,9220,10311827
71,1,9220,71967961
71,1,9220,10209311
71,1,9220,10167061
71,1,9220,71575179
71,1,9220,71320294
71,1,9220,71247155
71,1,9220,71217776
71,1,9220,71357533
71,1,9220,71153504
71,1,9220,10545640
71,1,9220,71444194
71,1,9220,10682297
71,1,9220,10693146
71,1,9220,10770404
71,1,9220,10772662
71,1,9220,10833292
71,1,9220,10331830
71,1,9284,71361405
71,1,9284,71153697
71,1,9284,71135920
71,1,9284,10435371
71,1,9284,10374492
71,1,9284,71215877
71,1,9284,10267629
71,1,9284,71873003
71,1,9284,71268604
71,1,9284,71501757
71,1,9284,71498575
71,1,9284,10105213
71,1,9284,10232708
71,1,9284,10802814
71,1,9284,10751619
71,1,9284,10752691
71,1,9284,10690706
71,1,9284,10626099
71,1,9299,10313826
71,1,9903,71947002
71,1,9903,10285201
71,1,9903,10292471
71,1,9903,71936550
71,1,9903,10238726
71,1,9903,10324843
71,1,9903,10337734
71,1,9903,10409566
71,1,9903,10409553
71,1,9903,10010786
71,1,9903,10227703
71,1,9903,10300490
71,1,9904,71180824
71,1,9904,10382173
71,1,9904,10833481
71,1,9904,10834307
71,1,9904,10828640
71,1,9904,10828634
71,1,9904,10834896
71,1,9904,71503901
71,1,9904,10834233
71,1,9904,10830152
71,1,9904,10832662
71,1,9904,10728371
71,1,9904,10836229
71,1,9904,10834341
71,1,9904,10833139
71,1,9904,10727377
71,2,139,10833102
71,2,139,10382935
71,2,139,10439128
71,2,139,10539284
71,2,139,10646727
71,2,139,10664277
71,2,139,71007479
71,2,139,10722240
71,2,139,10736347
71,2,139,10710133
71,2,139,71340713
71,2,139,10693660
71,2,139,10453646
71,2,139,10641328
71,2,139,10687774
71,2,139,10828810
71,2,154,10283331
71,2,154,71513390
71,2,154,10364376
71,2,154,71868513
71,2,154,10814321
71,2,169,10833136
71,2,169,10797884
71,2,169,10797033
71,2,169,10235972
71,2,169,10137453
71,2,169,71037673
71,2,169,71500821
71,2,201,10579491
71,2,201,10765525
71,2,201,71975822
71,2,201,71499937
71,2,201,10520799
71,2,201,10371052
71,2,201,10813116
71,2,201,71347779
71,2,201,71515429
71,2,201,10132026
71,2,201,71550873
71,2,201,10820058
71,2,201,71515338
71,2,302,71908548
71,2,302,71299600
71,2,302,10553977
71,2,302,10522606
71,2,302,71319459
71,2,302,71183011
71,2,302,71849348
71,2,302,71078756
71,2,302,71678436
71,2,302,10331148
71,2,302,71000186
71,2,390,10684255
71,2,390,10638849
71,2,390,10628823
71,2,390,10625200
71,2,390,10207280
71,2,390,71246705
71,2,390,71617977
71,2,390,10827632
71,2,390,10446744
71,2,390,10810201
71,2,390,10751546
71,2,390,10617410
71,2,390,10777657
71,2,402,71091717
71,2,402,71519033
71,2,402,10767398
71,2,402,10504910
71,2,402,10187854
71,2,403,71742494
71,2,403,71134918
71,2,403,71220246
71,2,403,10512591
71,2,403,10545987
71,2,403,71848713
71,2,404,10656990
71,2,404,71212029
71,2,404,71281267
71,2,405,10050082
71,2,405,10351401
71,2,405,10485318
71,2,405,10772493
71,2,405,10128009
71,2,405,71502246
71,2,405,71295348
71,2,407,10625725
71,2,407,10452426
71,2,407,71488589
71,2,407,10017186
71,2,407,71868679
71,2,408,71571800
71,2,408,71052353
71,2,408,71518241
71,2,408,71497441
71,2,408,71932741
71,2,410,71262663
71,2,410,10323696
71,2,410,10529491
71,2,410,10788768
71,2,414,71324510
71,2,414,71035772
71,2,414,10807139
71,2,414,71484519
71,2,442,10812405
71,2,442,10767492
71,2,442,10736519
71,2,465,10688428
71,2,465,10651292
71,2,465,71513498
71,2,465,10755661
71,2,465,10204652
71,2,465,10665281
71,2,502,10618422
71,2,502,71273668
71,2,502,10604035
71,2,502,71072452
71,2,502,71459384
71,2,502,71983866
71,2,502,71260227
71,2,502,71515818
71,2,502,10160639
71,2,502,71120928
71,2,502,10619887
71,2,502,10646581
71,2,502,10651871
71,2,502,10617556
71,2,502,10661251
71,2,502,10710433
71,2,502,10509704
71,2,503,10786215
71,2,503,10544524
71,2,503,10634204
71,2,503,10694736
71,2,503,10631669
71,2,503,10318525
71,2,503,71703928
71,2,540,71549683
71,2,540,10828990
71,2,540,10038756
71,2,540,10665589
71,2,540,10645208
71,2,540,10634811
71,2,540,10489454
71,2,540,10620495
71,2,602,10538429
71,2,602,71900981
71,2,602,10482815
71,2,602,10459757
71,2,602,10402027
71,2,602,10180116
71,2,602,71348896
71,2,602,10665053
71,2,602,10589911
71,2,602,10524604
71,2,602,71160223
71,2,602,10790437
71,2,602,10548428
71,2,602,10449209
71,2,602,71682833
71,2,602,71211508
71,2,602,71812875
71,2,602,71517081
71,2,602,10086118
71,2,602,10378107
71,2,721,71333733
71,2,721,10698378
71,2,721,71593237
71,2,721,10739926
71,2,721,10752452
71,2,721,71513556
71,2,721,71207924
71,2,721,10618659
71,2,721,10684576
71,2,721,10688469
71,2,721,10721576
71,2,721,71232634
71,2,721,10273015
71,2,721,10342935
71,2,721,10674934
71,2,721,71303381
71,2,721,10634865
71,2,721,10630110
71,2,730,71442137
71,2,730,71697413
71,2,730,10484357
71,2,730,10428708
71,2,730,10726408
71,2,730,10831342
71,2,732,71093200
71,2,732,10418137
71,2,732,71177324
71,2,732,10750826
71,2,732,10838757
71,2,732,10543729
71,2,810,10753092
71,2,810,71251187
71,2,810,10085571
71,2,810,10290387
71,2,810,10378825
71,2,810,10787829
71,2,810,10827683
71,2,810,10716208
71,2,810,71339762
71,2,810,10631480
71,2,810,71540800
71,2,810,71291367
71,2,810,71467608
71,2,810,71521976
71,2,810,10618757
71,2,810,71526751
71,2,810,10379053
71,2,810,71668198
71,2,810,71457862
71,2,810,71219228
71,2,810,10438993
71,2,810,71226014
71,2,810,10107628
71,2,1001,10828267
71,2,1001,10763964
71,2,1001,10658819
71,2,1001,10613518
71,2,1001,10632095
71,2,1001,10629837
71,2,1001,10491418
71,2,1001,10443441
71,2,1001,10161386
71,2,1001,10341021
71,2,1001,71514018
71,2,1001,71804601
71,2,1407,71876860
71,2,1407,71522375
71,2,1407,71324106
71,2,1412,71891936
71,2,1412,10432833
71,2,1412,10824948
71,2,1501,71116731
71,2,1501,71116657
71,2,1501,10555086
71,2,1501,10636523
71,2,1501,71212532
71,2,1501,10829940
71,2,1699,71902929
71,2,1699,71268982
71,2,1699,71035404
71,2,1699,10105807
71,2,1699,10751768
71,2,1699,71223666
71,2,1699,10447006
71,2,1699,71435982
71,2,1699,10460632
71,2,1699,71588512
71,2,1702,10043913
71,2,1702,71228760
71,2,1702,10717551
71,2,1702,10676736
71,2,1702,10634814
71,2,1702,10417668
71,2,1702,10620223
71,2,1702,10807778
71,2,1702,71350399
71,2,1702,10791038
71,2,1702,10038892
71,2,1702,10809316
71,2,1702,10809312
71,2,1702,10624697
71,2,1702,10750545
71,2,1702,10770975
71,2,1702,10745199
71,2,1702,10632281
71,2,1702,10308513
71,2,1702,10636989
71,2,1702,71254934
71,2,1702,10630753
71,2,1702,10314138
71,2,1702,71513424
71,2,1702,71692419
71,2,1702,10655040
71,2,1702,10176111
71,2,1702,71750418
71,2,1702,71813287
71,2,1809,10325705
71,2,1809,71454892
71,2,1809,10574838
71,2,1809,71447273
71,2,1809,71166364
71,2,2170,71327302
71,2,2170,10328239
71,2,2170,71949369
71,2,2170,71314520
71,2,2170,71453380
71,2,2176,10823971
71,2,2176,10661337
71,2,2176,10360347
71,2,2180,10081577
71,2,2180,10168025
71,2,2181,71212994
71,2,4002,71146209
71,2,4002,71250075
71,2,4002,71072289
71,2,4002,71330892
71,2,4002,10698382
71,2,4002,71514737
71,2,4002,71002691
71,2,4002,71095276
71,2,4002,71990325
71,2,4002,71342222
71,2,4002,71880153
71,2,4002,71795545
71,2,6601,10111442
71,2,6601,10587573
71,2,6601,10809909
71,2,6601,10599273
71,2,6601,10772612
71,2,6601,10767794
71,2,6601,10343527
71,2,6601,71662630
71,2,6601,71153715
71,2,6601,10338309
71,2,6601,10573750
71,2,6601,10418143
71,2,6601,10642323
71,2,8801,71874785
71,2,8802,10175580
71,2,8802,10540072
71,2,8825,10660594
71,2,8825,71142424
71,2,8825,71057406
71,2,8825,71050661
71,2,8825,71399962
71,2,8825,71511014
71,2,8825,10505671
71,2,8825,10548394
71,2,8825,10697767
71,2,8825,71585108
71,2,8825,10818636
71,2,8825,10835479
71,2,8840,10834782
71,2,8840,10833073
71,2,8840,71264242
71,2,8840,71203137
71,2,8840,10703122
71,2,8840,71666029
71,2,8840,10339106
71,2,8840,10566053
71,2,8840,71007574
71,2,8842,10126553
71,2,8842,71748437
71,2,8842,10496559
71,2,8842,10790684
71,2,8842,71960341
71,2,8843,10681065
71,2,8843,71467433
71,2,8843,71331004
71,2,8851,71501817
71,2,8851,71142007
71,2,8851,71316976
71,2,8851,10342321
71,2,8851,71033119
71,2,8852,10325849
71,2,8852,10574878
71,2,8853,71001881
71,2,8853,71096038
71,2,8878,71199191
71,2,8890,10807642
71,2,8890,71698487
71,2,8890,10671135
71,2,8890,10807626
71,2,8890,10406089
71,2,8890,10514395
71,2,8890,10550781
71,2,8890,10830466
71,2,8890,71502412
71,2,8890,71516823
71,2,8890,71245839
71,2,8890,10495834
71,2,8890,10596906
71,2,8890,10742754
71,2,8890,10635260
71,2,9207,10714553
71,2,9213,71512158
71,2,9213,10691826
71,2,9213,71505843
71,2,9220,10721197
71,2,9220,10830233
71,2,9220,71578813
71,2,9220,71082083
71,2,9220,71183763
71,2,9220,71192742
71,2,9220,10073128
71,2,9220,71509992
71,2,9220,71781026
71,2,9220,71814764
71,2,9220,10320169
71,2,9220,10323934
71,2,9220,10823309
71,2,9220,10820309
71,2,9220,10776055
71,2,9220,10572463
71,2,9220,10540331
71,2,9903,71670921
71,2,9903,10664295
71,2,9903,71111605
71,2,9903,10297274
71,2,9903,71121301
71,2,9903,71458160
71,2,9903,10148773
71,2,9903,10288854
71,2,9904,71670923
71,2,9904,10833350
71,2,9904,10834107
71,2,9904,10833146
71,3,122,71530803
71,3,122,10825721
71,3,122,71247930
71,3,122,71927127
71,3,122,71553178
71,3,122,71166303
71,3,139,10823821
71,3,139,10064642
71,3,139,10711944
71,3,139,71452523
71,3,139,71143663
71,3,139,71247516
71,3,139,71280229
71,3,139,71070815
71,3,139,10792299
71,3,169,71502131
71,3,169,10066790
71,3,169,71262502
71,3,169,71514402
71,3,169,10777435
71,3,169,71355831
71,3,169,71034598
71,3,169,71555941
71,3,169,10176003
71,3,169,71070574
71,3,180,71340722
71,3,180,10227513
71,3,180,10761656
71,3,180,10734376
71,3,180,71794539
71,3,180,71951932
71,3,181,71050345
71,3,181,71960181
71,3,181,10710387
71,3,181,71852105
71,3,181,71876691
71,3,181,71363784
71,3,181,71041792
71,3,182,71686117
71,3,182,71825739
71,3,182,71572593
71,3,182,10583887
71,3,182,71693708
71,3,182,71577484
71,3,182,10384219
71,3,182,10144649
71,3,182,71196462
71,3,182,10710672
71,3,182,10523380
71,3,182,71547564
71,3,183,10796740
71,3,183,10310101
71,3,183,10637448
71,3,183,71059497
71,3,183,71188253
71,3,183,71920245
71,3,183,10103828
71,3,183,10720229
71,3,183,10717757
71,3,183,10775716
71,3,184,71515740
71,3,184,10752109
71,3,184,10684460
71,3,184,71524962
71,3,184,71431650
71,3,184,71534255
71,3,185,10084183
71,3,185,10363160
71,3,185,71310982
71,3,185,71386643
71,3,185,10527334
71,3,185,71281692
71,3,187,71234733
71,3,187,71785505
71,3,187,71428325
71,3,187,10519510
71,3,187,71464518
71,3,187,71001196
71,3,187,71571612
71,3,191,10305775
71,3,191,71249202
71,3,191,71478477
71,3,191,71297484
71,3,192,71292334
71,3,192,71195739
71,3,192,10448431
71,3,192,71282235
71,3,201,71581660
71,3,201,10748218
71,3,201,71196081
71,3,201,71025942
71,3,201,10035332
71,3,201,71689566
71,3,201,71166344
71,3,280,71294129
71,3,280,71365659
71,3,280,71812258
71,3,280,10745610
71,3,280,10068661
71,3,280,71446268
71,3,281,71355884
71,3,281,10213190
71,3,281,71355945
71,3,281,71165661
71,3,281,71222258
71,3,281,71398807
71,3,281,71109068
71,3,281,71566369
71,3,301,71074832
71,3,301,71043674
71,3,301,71306779
71,3,301,71053036
71,3,301,10793682
71,3,301,10728369
71,3,301,71110740
71,3,302,71586032
71,3,302,71202276
71,3,302,71241040
71,3,302,71088243
71,3,303,71679525
71,3,303,10007070
71,3,303,10636009
71,3,304,10530817
71,3,304,10174217
71,3,305,10679972
71,3,305,10716747
71,3,305,10828698
71,3,305,10556824
71,3,305,10828694
71,3,305,71643817
71,3,305,71065740
71,3,305,10667293
71,3,305,71572497
71,3,320,71336520
71,3,320,71229663
71,3,320,71186865
71,3,320,71432618
71,3,320,71198142
71,3,320,71524974
71,3,320,10556890
71,3,320,10511439
71,3,320,71550627
71,3,320,71259464
71,3,320,71219172
71,3,320,10712463
71,3,320,10134975
71,3,320,10748348
71,3,325,71685234
71,3,325,71035431
71,3,325,10737101
71,3,325,71349853
71,3,325,10202372
71,3,325,71916390
71,3,325,10513133
71,3,325,71615245
71,3,330,10653641
71,3,330,10557119
71,3,330,10313541
71,3,330,10737801
71,3,330,10107968
71,3,330,10520768
71,3,330,71577431
71,3,340,10692551
71,3,340,10516529
71,3,340,10033516
71,3,340,10664418
71,3,340,10565671
71,3,340,10635059
71,3,340,71944691
71,3,340,10145331
71,3,340,10324019
71,3,340,10258819
71,3,340,10169591
71,3,340,71265628
71,3,352,71186912
71,3,352,10826919
71,3,352,71509472
71,3,352,10515103
71,3,352,10105345
71,3,352,10390358
71,3,352,10542127
71,3,352,10549232
71,3,352,10827610
71,3,353,10657733
71,3,353,10642491
71,3,353,71454562
71,3,353,10557055
71,3,353,10556372
71,3,353,10828720
71,3,355,10827760
71,3,355,71928940
71,3,355,10661621
71,3,355,10552680
71,3,355,71010553
71,3,380,71237764
71,3,380,10392791
71,3,380,71509780
71,3,380,71529548
71,3,380,71295866
71,3,380,10727449
71,3,380,10606342
71,3,380,71673019
71,3,381,71544896
71,3,381,10025763
71,3,381,10734470
71,3,381,71292193
71,3,382,10629573
71,3,382,10717736
71,3,382,10546894
71,3,382,10257393
71,3,382,10685477
71,3,382,71281258
71,3,382,71090933
71,3,382,10710630
71,3,382,10672664
71,3,382,71132452
71,3,382,10019874
71,3,382,10530333
71,3,382,10530115
71,3,382,10647241
71,3,382,10692564
71,3,382,10731789
71,3,382,10371602
71,3,382,10624253
71,3,382,10530759
71,3,382,10545140
71,3,383,10730412
71,3,383,10829509
71,3,383,10695644
71,3,383,10257840
71,3,383,71796996
71,3,384,71142707
71,3,384,71260465
71,3,384,10175664
71,3,384,10461407
71,3,384,10050721
71,3,384,71341260
71,3,384,71933839
71,3,384,10536551
71,3,384,10667846
71,3,385,10710998
71,3,385,10831792
71,3,385,10104279
71,3,385,10109901
71,3,385,71507758
71,3,386,10665320
71,3,386,71149982
71,3,386,10619764
71,3,386,71325510
71,3,386,10535358
71,3,386,10404362
71,3,387,10395843
71,3,387,71631127
71,3,387,71040341
71,3,387,71497445
71,3,387,10134431
71,3,387,71222809
71,3,387,10540609
71,3,401,10591013
71,3,401,10470490
71,3,401,10126608
71,3,402,10805841
71,3,402,71772063
71,3,402,10757998
71,3,402,10665207
71,3,402,10577693
71,3,402,71449486
71,3,402,71171771
71,3,402,71168913
71,3,402,71125189
71,3,402,71110637
71,3,402,71550081
71,3,402,71049769
